SDK,Software Development Kit,Technology,Engineering
SEO,Search Engine Optimization,Sales,Marketing
SFTP,Secure File Transfer Protocol,Internet,Networking
SGML,Standard Generalized Markup Language,Technology,Engineering
SLA,Service Level Agreement,Business
SME,Small and Medium-sized Enterprises,Business
SMTP,Simple Mail Transfer Protocol,Internet,Networking
SMS,Short Message Service,Internet,Networking
SNMP,Simple Network Management Protocol,Internet,Networking
SOAP,Simple Object Access Protocol,Technology,Engineering
SOA,Service-Oriented Architecture,Technology,Engineering
SQL,Structured Query Language,Technology,Engineering
SSD,Solid State Drive,Technology,Engineering
SSL,Secure Sockets Layer,Internet,Networking
STB,Set-Top Box,Television,Broadcasting
SWF,Shockwave Flash,Technology,Engineering
TCP,Transmission Control Protocol,Internet,Networking
TCP,IP,Internet,Networking
TDM,Time Division Multiplexing,Internet,Networking
TFT,Thin Film Transistor,Technology,Engineering
TLS,Transport Layer Security,Internet,Networking
TMN,Telecommunications Management Network,Internet,Networking
TOC,Table of Contents,Business
TOS,Terms of Service,Legal/Regulatory
TPS,Transactions Per Second,Technology,Engineering
UGC,User-Generated Content,Content,Media
UI,User Interface,Technology,Engineering
URL,Uniform Resource Locator,Internet,Networking
USB,Universal Serial Bus,Technology,Engineering
UTP,Unshielded Twisted Pair,Technology,Engineering
VAS,Value-Added Service,Business
VDSL,Very-high-bit-rate Digital Subscriber Line,Internet,Networking
VoD,Video on Demand,Television,Broadcasting
VoIP,Voice over Internet Protocol,Internet,Networking
VPN,Virtual Private Network,Internet,Networking
VR,Virtual Reality,Technology,Engineering
VSAT,Very Small Aperture Terminal,Television,Broadcasting
WAN,Wide Area Network,Internet,Networking,
WAP,Wireless Application Protocol,Internet,Networking
WEP,Wired Equivalent Privacy,Internet,Networking
Wi-Fi,Wireless Fidelity,Internet,Networking
WIMAX,Worldwide Interoperability for Microwave Access,Internet,Networking
XML,Extensible Markup Language,Technology,Engineering
XSS,Cross-Site Scripting,Internet,Networking
